blood_draw_date,individual_ID,replicate_no,osmolality_mmol_kg,hemolyzed_Y_N
4/23/21,M-02,3,382,N
4/23/21,M-02,2,339,N
4/23/21,M-02,1,349,N
4/23/21,M-03,1,372,N
4/23/21,M-03,2,379,N
4/23/21,M-04,1,349,N
4/23/21,M-05,1,348,N
4/23/21,M-06,3,346,N
4/23/21,M-06,2,340,N
4/23/21,M-06,1,351,N
4/23/21,M-07,2,391,N
4/23/21,M-07,1,364,N
4/23/21,M-08,1,396,N
4/24/21,M-09,2,349,Y
4/24/21,M-09,1,385,Y
4/24/21,M-10,3,391,Y
4/24/21,M-10,2,417,Y
4/24/21,M-10,1,424,Y
4/23/21,F-01,3,337,N
4/23/21,F-01,2,338,N
4/23/21,F-01,1,339,N
4/23/21,F-02,3,376,N
4/23/21,F-02,2,364,N
4/23/21,F-02,1,393,N
4/23/21,F-03,3,332,N
4/23/21,F-03,2,334,N
4/23/21,F-03,1,333,N
4/23/21,F-04,2,400,N
4/23/21,F-04,1,362,N
4/24/21,F-05,3,338,Y
4/24/21,F-05,2,338,Y
4/24/21,F-05,1,314,Y
4/24/21,F-06,3,320,N
4/24/21,F-06,2,364,N
4/24/21,F-06,1,339,N
4/24/21,F-07,3,313,Y
4/24/21,F-07,2,309,Y
4/24/21,F-07,1,306,Y
4/24/21,F-08,3,327,Y
4/24/21,F-08,2,359,Y
4/24/21,F-08,1,365,Y
4/24/21,F-09,3,367,Y
4/24/21,F-09,2,338,Y
4/24/21,F-09,1,351,Y
4/24/21,F-10,3,321,Y
4/24/21,F-10,2,350,Y
4/24/21,F-10,1,331,Y
4/23/21,M-11,3,385,N
4/23/21,M-11,2,381,N
4/23/21,M-11,1,378,N
4/23/21,M-12,3,361,N
4/23/21,M-12,2,360,N
4/23/21,M-12,1,387,N
4/23/21,M-13,3,370,N
4/23/21,M-13,2,372,N
4/23/21,M-13,1,369,N
4/23/21,M-14,3,334,N
4/23/21,M-14,2,351,N
4/23/21,M-14,1,358,N
4/23/21,M-15,3,344,N
4/23/21,M-15,2,346,N
4/23/21,M-15,1,349,N
4/23/21,M-16,2,385,N
4/23/21,M-16,1,360,N
4/23/21,M-17,3,363,N
4/23/21,M-17,2,356,N
4/23/21,M-17,1,367,N
4/24/21,M-18,2,407,Y
4/24/21,M-18,1,440,Y
4/24/21,M-19,3,373,Y
4/24/21,M-19,2,369,Y
4/24/21,M-19,1,357,Y
4/24/21,M-20,3,365,Y
4/24/21,M-20,2,382,Y
4/24/21,M-20,1,423,Y
4/23/21,F-11,3,338,N
4/23/21,F-11,2,332,N
4/23/21,F-11,1,330,N
4/23/21,F-12,3,348,N
4/23/21,F-12,2,349,N
4/23/21,F-12,1,346,N
4/23/21,F-13,3,350,N
4/23/21,F-13,2,346,N
4/23/21,F-13,1,357,N
4/24/21,F-14,2,420,N
4/24/21,F-14,1,384,N
4/24/21,F-15,2,317,Y
4/24/21,F-15,1,315,Y
4/24/21,F-16,2,362,Y
4/24/21,F-16,1,418,Y
4/24/21,F-17,3,370,Y
4/24/21,F-17,2,339,Y
4/24/21,F-17,1,352,Y
4/25/21,F-18,3,376,N
4/25/21,F-18,2,372,N
4/25/21,F-18,1,372,N
4/25/21,F-19,3,329,N
4/25/21,F-19,2,318,N
4/25/21,F-19,1,362,N
5/7/21,M-04,3,382,N
5/7/21,M-04,2,401,N
5/7/21,M-04,1,394,N
5/7/21,M-20,3,386,N
5/7/21,M-20,2,410,N
5/7/21,M-20,1,418,N
5/7/21,M-11,2,355,N
5/7/21,M-11,1,348,N
5/7/21,M-09,3,426,N
5/7/21,M-09,2,374,N
5/7/21,M-09,1,377,N
5/7/21,M-16,2,421,N
5/7/21,M-16,1,418,N
5/7/21,M-19,3,387,N
5/7/21,M-19,2,379,N
5/7/21,M-19,1,380,N
5/7/21,M-10,2,408,N
5/7/21,M-10,1,425,N
5/7/21,M-07,3,395,N
5/7/21,M-07,2,383,N
5/7/21,M-07,1,395,N
5/7/21,M-17,2,438,N
5/7/21,M-17,1,435,N
5/8/21,F-05,2,366,N
5/8/21,F-05,1,361,N
5/8/21,F-06,3,368,N
5/8/21,F-06,2,379,N
5/8/21,F-06,1,370,N
5/8/21,F-17,3,340,N
5/8/21,F-17,2,341,N
5/8/21,F-17,1,357,N
5/8/21,F-12,3,363,N
5/8/21,F-12,2,360,N
5/8/21,F-12,1,360,N
5/8/21,F-01,3,344,N
5/8/21,F-01,2,345,N
5/8/21,F-01,1,360,N
5/8/21,F-13,2,379,N
5/8/21,F-13,1,380,N
5/8/21,F-11,3,381,N
5/8/21,F-11,2,376,N
5/8/21,F-11,1,378,N
5/8/21,F-03,3,337,N
5/8/21,F-03,2,338,N
5/8/21,F-03,1,337,N
5/8/21,M-12,3,358,N
5/8/21,M-12,2,357,N
5/8/21,M-12,1,370,N
5/8/21,F-19,3,357,N
5/8/21,F-19,2,348,N
5/8/21,F-19,1,353,N
5/8/21,M-18,3,361,N
5/8/21,M-18,2,352,N
5/8/21,M-18,1,353,N
5/7/21,M-03a,3,414,N
5/7/21,M-03a,2,420,N
5/7/21,M-03a,1,408,N
5/8/21,F-08a,3,392,N
5/8/21,F-08a,2,392,N
5/8/21,F-08a,1,394,N
5/8/21,F-16,3,340,N
5/8/21,F-16,2,339,N
5/8/21,F-16,1,339,N
7/14/21,F-10,3,353,N
7/14/21,F-10,2,347,N
7/14/21,F-10,1,345,N
7/14/21,M-14,3,377,N
7/14/21,M-14,2,359,N
7/14/21,M-14,1,380,N
7/14/21,M-06,3,332,Y
7/14/21,M-06,2,323,Y
7/14/21,M-06,1,325,Y
7/14/21,M-03a,3,365,N
7/14/21,M-03a,2,354,N
7/14/21,M-03a,1,355,N
7/14/21,M-11,3,367,N
7/14/21,M-11,2,366,N
7/14/21,M-11,1,362,N
7/14/21,M-09,3,329,N
7/14/21,M-09,2,331,N
7/14/21,M-09,1,332,N
7/14/21,M-20,2,331,N
7/14/21,M-20,1,361,N
7/14/21,M-19,3,338,N
7/14/21,M-19,2,341,N
7/14/21,M-19,1,336,N
7/14/21,M-08,3,365,N
7/14/21,M-08,2,378,N
7/14/21,M-08,1,361,N
7/14/21,M-10,3,358,N
7/14/21,M-10,2,326,N
7/14/21,M-10,1,345,N
7/14/21,M-13,2,367,Y
7/14/21,M-13,1,386,Y
7/14/21,M-05,2,369,N
7/14/21,M-05,1,369,N
7/14/21,F-12,3,358,N
7/14/21,F-12,2,354,N
7/14/21,F-12,1,367,N
7/14/21,M-01,3,340,N
7/14/21,M-01,2,339,N
7/14/21,M-01,1,343,N
4/23/21,W-002,1,360,
4/23/21,W-004,3,329,
4/23/21,W-004,2,355,
4/23/21,W-004,1,341,
4/23/21,W-005,1,361,
4/24/21,W-006,1,334,Y
4/24/21,W-007,1,409,Y
4/24/21,W-008,2,374,Y
4/24/21,W-008,1,361,Y
4/24/21,W-009,3,376,Y
4/24/21,W-009,2,373,Y
4/24/21,W-009,1,381,Y
4/24/21,W-010,3,375,N
4/24/21,W-010,2,411,N
4/24/21,W-010,1,376,N
4/24/21,W-011,3,366,N
4/24/21,W-011,2,383,N
4/24/21,W-011,1,376,N
4/24/21,W-012,3,376,Y
4/24/21,W-012,2,368,Y
4/24/21,W-012,1,415,Y
4/24/21,W-013,3,382,Y
4/24/21,W-013,2,390,Y
4/24/21,W-013,1,419,Y
4/24/21,W-014,3,366,Y
4/24/21,W-014,2,362,Y
4/24/21,W-014,1,393,Y
4/24/21,W-015,3,399,N
4/24/21,W-015,2,392,N
4/24/21,W-015,1,402,N
4/24/21,W-016,3,382,N
4/24/21,W-016,2,376,N
4/24/21,W-016,1,385,N
4/24/21,W-017,3,358,Y
4/24/21,W-017,2,385,Y
4/24/21,W-017,1,414,Y
4/24/21,W-018,3,365,Y
4/24/21,W-018,2,388,Y
4/24/21,W-018,1,370,Y
4/24/21,W-019,3,382,Y
4/24/21,W-019,2,372,Y
4/24/21,W-019,1,377,Y
4/24/21,W-020,3,373,Y
4/24/21,W-020,2,377,Y
4/24/21,W-020,1,369,Y
4/24/21,W-021,3,418,Y
4/24/21,W-021,2,415,Y
4/24/21,W-021,1,382,Y
4/24/21,W-022,3,366,Y
4/24/21,W-022,2,353,Y
4/24/21,W-022,1,343,Y
4/24/21,W-023,3,370,Y
4/24/21,W-023,2,367,Y
4/24/21,W-023,1,370,Y
4/24/21,W-024,2,318,N
4/24/21,W-024,1,346,N
4/24/21,W-025,3,384,Y
4/24/21,W-025,2,353,Y
4/24/21,W-025,1,357,Y
4/25/21,W-026,3,370,N
4/25/21,W-026,2,360,N
4/25/21,W-026,1,378,N
4/25/21,W-027,3,398,N
4/25/21,W-027,2,392,N
4/25/21,W-027,1,393,N
4/25/21,W-028,3,390,N
4/25/21,W-028,2,426,N
4/25/21,W-028,1,400,N
5/7/21,W-030,3,428,N
5/7/21,W-030,2,452,N
5/7/21,W-030,1,433,N
5/7/21,W-031,3,437,N
5/7/21,W-031,2,434,N
5/7/21,W-031,1,441,N
5/8/21,W-032,2,431,N
5/8/21,W-032,1,442,N
5/8/21,W-033,3,373,N
5/8/21,W-033,2,355,N
5/8/21,W-033,1,353,N
5/8/21,W-034,2,382,N
5/8/21,W-034,1,380,N
5/8/21,W-035,3,367,N
5/8/21,W-035,2,369,N
5/8/21,W-035,1,371,N
5/8/21,W-036,3,350,N
5/8/21,W-036,2,359,N
5/8/21,W-036,1,355,N
5/8/21,W-037,3,370,N
5/8/21,W-037,2,359,N
5/8/21,W-037,1,363,N
5/8/21,W-038,3,361,N
5/8/21,W-038,2,359,N
5/8/21,W-038,1,373,N
5/7/21,W-002,2,371,N
5/7/21,W-002,1,387,N
5/8/21,W-001,1,390,N
5/8/21,W-017,1,366,N
5/8/21,W-025,3,383,N
5/8/21,W-025,2,367,N
5/8/21,W-025,1,361,N
5/8/21,W-016,3,385,N
5/8/21,W-016,2,382,N
5/8/21,W-016,1,381,N
7/14/21,W-039,3,359,N
7/14/21,W-039,2,357,N
7/14/21,W-039,1,364,N