,year,2018,2019,2020,2021
,winter_precip_in,3.89,7.61,4.5,2.91
Temperature,April,17.9 ± 4.9,17.7 ± 4.9,14.9 ± 5.5,17.3 ± 4
,May,21.4 ± 3.3,18.6 ± 3.6,24.2 ± 3.9,22.8 ± 4.6
,June,27.5 ± 3.6,27.5 ± 2.7,27.5 ± 4.9,28.7 ± 5.8
,July,32 ± 1.7,31.1 ± 2.6,32.3 ± 2.5,33.8 ± 2.5
Relative Humidity (%),April,50.1 ± 13.3,52.1 ± 17.1,62.2 ± 19.2,37 ± 16.1
,May,50.7 ± 11.2,59.3 ± 17.7,43.4 ± 16.4,32.9 ± 10.4
,June,32.8 ± 11,36.2 ± 10.2,38 ± 11.6,31.4 ± 9.9
,July,28.6 ± 9.1,31.1 ± 6.3,29.3 ± 7.4,26.1 ± 7
Vapor Pressure Deficit (kPa),April,1.2 ± 0.6,1.2 ± 0.7,0.8 ± 0.6,1.5 ± 0.6
,May,1.5 ± 0.5,1 ± 0.6,2 ± 0.9,2.1 ± 0.7
,June,2.7 ± 0.7,2.5 ± 0.6,2.6 ± 0.9,3.1 ± 1.1
,July,3.6 ± 0.6,3.3 ± 0.7,3.7 ± 0.6,4.1 ± 0.8
Proportion of Time in Burrows,May,0.38,0.25,NA,0.22
,June,0.65,0.31,NA,0.52
,July,0.81,0.43,NA,0.74